audio_feat_id,trip_id,driver_id,window_start,window_end,window_size_seconds,hop_size_seconds,elapsed_seconds,db_level,baseline_db,db_deviation,energy_slope,turn_gap_sec,gap_ratio,zcr,spectral_centroid,spectral_flux,f0_mean,f0_std,speech_rate,is_valid
AF00011,TRIP_DRV003_01,DRV003,2024-02-06 06:30:20,2024-02-06 06:30:25,5,2,20,59.41,51.0,8.39,5.15,1.489,0.207,0.3819,1071.0,0.00759,124.0,14.63,4.7,True
AF00012,TRIP_DRV003_01,DRV003,2024-02-06 06:30:22,2024-02-06 06:30:27,5,2,22,60.65,51.0,9.63,17.78,0.57,0.537,0.4439,870.1,0.02473,139.1,28.16,4.28,True
AF00013,TRIP_DRV003_01,DRV003,2024-02-06 06:30:24,2024-02-06 06:30:29,5,2,24,54.16,51.0,3.14,10.02,1.453,0.167,0.3105,949.1,0.01825,154.8,29.99,3.62,True
AF00014,TRIP_DRV003_01,DRV003,2024-02-06 06:30:26,2024-02-06 06:30:31,5,2,26,60.42,51.0,9.4,5.15,0.709,0.566,0.1855,1522.7,0.01002,112.8,23.96,4.71,True
AF00015,TRIP_DRV003_01,DRV003,2024-02-06 06:30:28,2024-02-06 06:30:33,5,2,28,52.61,51.0,1.59,12.4,0.741,0.345,0.2901,1475.7,0.01612,130.5,17.02,3.48,True
AF00016,TRIP_DRV003_01,DRV003,2024-02-06 06:30:30,2024-02-06 06:30:35,5,2,30,59.97,51.0,8.95,11.71,1.206,0.181,0.4067,861.7,0.02488,145.8,20.33,3.37,True
AF00017,TRIP_DRV003_01,DRV003,2024-02-06 06:30:32,2024-02-06 06:30:37,5,2,32,60.68,51.0,9.66,14.62,1.453,0.316,0.3083,1778.3,0.00559,157.0,22.81,5.39,True
AF00018,TRIP_DRV003_01,DRV003,2024-02-06 06:30:34,2024-02-06 06:30:39,5,2,34,52.31,51.0,1.29,9.56,1.317,0.573,0.2026,1226.9,0.0146,123.6,12.22,4.78,True
AF00019,TRIP_DRV003_01,DRV003,2024-02-06 06:30:36,2024-02-06 06:30:41,5,2,36,50.23,51.0,-0.79,15.64,1.465,0.213,0.4417,956.4,0.01173,154.7,24.1,2.74,True
AF00020,TRIP_DRV003_01,DRV003,2024-02-06 06:30:38,2024-02-06 06:30:43,5,2,38,58.32,51.0,7.31,17.02,1.055,0.262,0.4424,1757.5,0.01522,145.9,34.21,3.61,True
AF00021,TRIP_DRV003_01,DRV003,2024-02-06 06:30:40,2024-02-06 06:30:45,5,2,40,49.71,51.0,-1.31,8.12,0.719,0.163,0.3853,891.3,0.01064,143.3,11.08,2.55,True
AF00022,TRIP_DRV003_01,DRV003,2024-02-06 06:30:42,2024-02-06 06:30:47,5,2,42,50.5,51.0,-0.52,10.13,0.616,0.295,0.3595,936.9,0.01242,138.5,22.27,3.62,True
AF00023,TRIP_DRV003_01,DRV003,2024-02-06 06:30:44,2024-02-06 06:30:49,5,2,44,47.65,51.0,-3.37,7.72,0.615,0.263,0.3649,1568.8,0.01578,126.3,34.47,4.0,True
AF00024,TRIP_DRV003_01,DRV003,2024-02-06 06:30:46,2024-02-06 06:30:51,5,2,46,52.37,51.0,1.35,18.44,1.349,0.353,0.2069,906.9,0.01353,141.4,14.0,3.23,True
AF00025,TRIP_DRV003_01,DRV003,2024-02-06 06:30:48,2024-02-06 06:30:53,5,2,48,47.49,51.0,-3.53,12.43,1.114,0.157,0.1948,1195.8,0.00916,157.5,13.86,3.99,True
AF00026,TRIP_DRV003_01,DRV003,2024-02-06 06:30:50,2024-02-06 06:30:55,5,2,50,59.94,51.0,8.92,13.04,1.035,0.305,0.3437,1235.4,0.01552,131.0,17.14,5.37,True
AF00027,TRIP_DRV003_01,DRV003,2024-02-06 06:30:52,2024-02-06 06:30:57,5,2,52,56.08,51.0,5.06,12.9,0.737,0.58,0.2075,1229.2,0.01366,112.9,17.26,4.65,True
AF00028,TRIP_DRV003_01,DRV003,2024-02-06 06:30:54,2024-02-06 06:30:59,5,2,54,56.47,51.0,5.45,9.55,1.062,0.568,0.2888,1033.8,0.01239,159.2,11.61,2.73,True
AF00029,TRIP_DRV003_01,DRV003,2024-02-06 06:30:56,2024-02-06 06:31:01,5,2,56,49.82,51.0,-1.2,8.76,0.581,0.18,0.3438,1264.4,0.00724,111.7,17.29,3.14,True
AF00030,TRIP_DRV003_01,DRV003,2024-02-06 06:30:58,2024-02-06 06:31:03,5,2,58,53.43,51.0,2.41,18.43,0.814,0.577,0.353,1160.2,0.00693,155.7,9.42,4.53,True
AF00031,TRIP_DRV003_01,DRV003,2024-02-06 06:31:00,2024-02-06 06:31:05,5,2,60,57.39,51.0,6.38,13.92,1.363,0.263,0.4498,1584.6,0.01487,121.9,31.99,4.07,True
AF00032,TRIP_DRV003_01,DRV003,2024-02-06 06:31:02,2024-02-06 06:31:07,5,2,62,51.52,51.0,0.51,9.65,1.265,0.354,0.165,1596.2,0.00789,111.4,9.86,4.74,True
AF00033,TRIP_DRV003_01,DRV003,2024-02-06 06:31:04,2024-02-06 06:31:09,5,2,64,57.02,51.0,6.0,17.86,0.976,0.442,0.3421,1046.3,0.01313,115.4,9.55,3.07,True
AF00034,TRIP_DRV003_01,DRV003,2024-02-06 06:31:06,2024-02-06 06:31:11,5,2,66,60.17,51.0,9.15,17.54,0.673,0.298,0.2674,1781.2,0.01665,154.4,25.23,3.98,True
AF00035,TRIP_DRV003_01,DRV003,2024-02-06 06:31:08,2024-02-06 06:31:13,5,2,68,58.99,51.0,7.97,5.86,0.662,0.528,0.3493,970.5,0.02323,138.9,24.99,3.32,True
AF00036,TRIP_DRV003_01,DRV003,2024-02-06 06:31:10,2024-02-06 06:31:15,5,2,70,52.28,51.0,1.26,8.71,0.916,0.263,0.242,1109.2,0.00924,113.2,12.76,3.79,True
AF00037,TRIP_DRV003_01,DRV003,2024-02-06 06:31:12,2024-02-06 06:31:17,5,2,72,53.18,51.0,2.16,5.11,1.165,0.188,0.2657,830.2,0.01683,153.9,30.42,3.25,True
AF00038,TRIP_DRV003_01,DRV003,2024-02-06 06:31:14,2024-02-06 06:31:19,5,2,74,46.69,51.0,-4.32,8.19,0.816,0.538,0.274,1046.5,0.01327,137.0,31.33,4.47,True
AF00039,TRIP_DRV003_01,DRV003,2024-02-06 06:31:16,2024-02-06 06:31:21,5,2,76,47.62,51.0,-3.4,9.75,1.498,0.567,0.1899,1088.5,0.00575,122.9,32.97,5.36,True
AF00040,TRIP_DRV003_01,DRV003,2024-02-06 06:31:18,2024-02-06 06:31:23,5,2,78,47.44,51.0,-3.58,13.09,0.948,0.263,0.2958,1151.0,0.0171,150.0,24.5,4.52,True
AF00041,TRIP_DRV003_01,DRV003,2024-02-06 06:31:20,2024-02-06 06:31:25,5,2,80,50.86,51.0,-0.16,18.87,0.892,0.425,0.2539,1700.7,0.01177,143.8,27.56,3.04,True
AF00042,TRIP_DRV003_01,DRV003,2024-02-06 06:31:22,2024-02-06 06:31:27,5,2,82,60.17,51.0,9.15,16.59,1.199,0.465,0.317,1079.2,0.005,144.6,23.2,5.32,True
AF00043,TRIP_DRV003_01,DRV003,2024-02-06 06:31:24,2024-02-06 06:31:29,5,2,84,47.18,51.0,-3.84,4.54,0.686,0.52,0.226,821.8,0.01093,155.7,22.36,4.82,True
AF00044,TRIP_DRV003_01,DRV003,2024-02-06 06:31:26,2024-02-06 06:31:31,5,2,86,56.75,51.0,5.73,19.92,0.644,0.29,0.3758,1520.7,0.02279,145.6,15.8,5.27,True
AF00045,TRIP_DRV003_01,DRV003,2024-02-06 06:31:28,2024-02-06 06:31:33,5,2,88,50.53,51.0,-0.49,6.48,0.797,0.379,0.1563,1397.6,0.01716,122.7,9.96,2.52,True
AF00046,TRIP_DRV003_01,DRV003,2024-02-06 06:31:30,2024-02-06 06:31:35,5,2,90,49.92,51.0,-1.09,7.51,0.409,0.568,0.3279,1147.8,0.0051,139.5,25.07,3.97,True
AF00047,TRIP_DRV003_01,DRV003,2024-02-06 06:31:32,2024-02-06 06:31:37,5,2,92,50.67,51.0,-0.34,13.16,1.289,0.179,0.4022,1086.8,0.02103,159.4,14.3,4.33,True
AF00048,TRIP_DRV003_01,DRV003,2024-02-06 06:31:34,2024-02-06 06:31:39,5,2,94,51.67,51.0,0.66,9.71,1.462,0.296,0.2757,1052.2,0.0097,123.0,31.49,3.57,True
AF00049,TRIP_DRV003_01,DRV003,2024-02-06 06:31:36,2024-02-06 06:31:41,5,2,96,50.82,51.0,-0.19,17.32,1.387,0.218,0.2669,833.6,0.01549,150.8,19.31,3.97,True
AF00050,TRIP_DRV003_01,DRV003,2024-02-06 06:31:38,2024-02-06 06:31:43,5,2,98,60.88,51.0,9.86,19.93,1.464,0.433,0.206,1156.8,0.02309,138.5,20.72,4.26,True
AF00051,TRIP_DRV003_01,DRV003,2024-02-06 06:31:40,2024-02-06 06:31:45,5,2,100,57.84,51.0,6.82,7.16,0.891,0.582,0.2706,1199.3,0.0074,117.4,15.14,3.24,True
AF00052,TRIP_DRV003_01,DRV003,2024-02-06 06:31:42,2024-02-06 06:31:47,5,2,102,59.34,51.0,8.32,16.42,1.466,0.386,0.2095,916.3,0.02014,137.4,30.97,3.54,True
AF00053,TRIP_DRV003_01,DRV003,2024-02-06 06:31:44,2024-02-06 06:31:49,5,2,104,55.62,51.0,4.61,18.0,1.367,0.443,0.2595,1263.4,0.02115,157.3,16.01,2.72,True
AF00054,TRIP_DRV003_01,DRV003,2024-02-06 06:31:46,2024-02-06 06:31:51,5,2,106,53.89,51.0,2.87,6.22,1.307,0.556,0.2537,1731.2,0.01768,154.7,16.22,5.28,True
AF00055,TRIP_DRV003_01,DRV003,2024-02-06 06:31:48,2024-02-06 06:31:53,5,2,108,50.11,51.0,-0.91,15.0,1.056,0.179,0.1835,1550.3,0.01092,144.9,25.86,5.21,True
AF00056,TRIP_DRV003_01,DRV003,2024-02-06 06:31:50,2024-02-06 06:31:55,5,2,110,53.57,51.0,2.55,5.72,0.932,0.55,0.3492,1179.6,0.00721,145.4,19.7,3.58,True
AF00057,TRIP_DRV003_01,DRV003,2024-02-06 06:31:52,2024-02-06 06:31:57,5,2,112,57.21,51.0,6.2,13.45,1.221,0.187,0.2262,1166.5,0.00954,153.2,15.95,2.56,True
AF00058,TRIP_DRV003_01,DRV003,2024-02-06 06:31:54,2024-02-06 06:31:59,5,2,114,50.43,51.0,-0.59,15.65,1.496,0.569,0.3101,1722.3,0.02086,122.2,13.38,4.41,True
AF00059,TRIP_DRV003_01,DRV003,2024-02-06 06:31:56,2024-02-06 06:32:01,5,2,116,46.55,51.0,-4.47,13.04,0.897,0.587,0.3525,1478.2,0.01897,122.0,13.51,2.78,True
AF00060,TRIP_DRV003_01,DRV003,2024-02-06 06:31:58,2024-02-06 06:32:03,5,2,118,49.66,51.0,-1.36,6.5,0.786,0.414,0.3415,1139.1,0.006,116.6,19.74,2.98,True
AF00061,TRIP_DRV003_01,DRV003,2024-02-06 06:32:00,2024-02-06 06:32:05,5,2,120,56.06,51.0,5.04,9.26,1.162,0.169,0.2572,1375.1,0.02403,120.3,25.67,3.49,True
AF00062,TRIP_DRV003_01,DRV003,2024-02-06 06:32:02,2024-02-06 06:32:07,5,2,122,51.26,51.0,0.24,10.89,1.369,0.246,0.3932,1288.1,0.01682,119.1,12.14,4.16,True
AF00063,TRIP_DRV003_01,DRV003,2024-02-06 06:32:04,2024-02-06 06:32:09,5,2,124,56.94,51.0,5.92,12.89,1.019,0.473,0.1844,949.7,0.00735,137.1,30.27,2.56,True
AF00064,TRIP_DRV003_01,DRV003,2024-02-06 06:32:06,2024-02-06 06:32:11,5,2,126,48.35,51.0,-2.67,9.08,1.334,0.387,0.3318,1703.0,0.02458,115.3,29.19,2.71,True
AF00065,TRIP_DRV003_01,DRV003,2024-02-06 06:32:08,2024-02-06 06:32:13,5,2,128,51.81,51.0,0.79,6.5,0.947,0.53,0.1564,1486.1,0.02395,112.2,32.36,2.72,True
AF00066,TRIP_DRV003_01,DRV003,2024-02-06 06:32:10,2024-02-06 06:32:15,5,2,130,47.61,51.0,-3.4,4.88,0.633,0.348,0.4231,1180.4,0.02168,148.0,24.94,2.89,True
AF00067,TRIP_DRV003_01,DRV003,2024-02-06 06:32:12,2024-02-06 06:32:17,5,2,132,54.8,51.0,3.78,10.25,0.78,0.402,0.2161,870.7,0.0106,143.8,27.12,3.13,True
AF00068,TRIP_DRV003_01,DRV003,2024-02-06 06:32:14,2024-02-06 06:32:19,5,2,134,50.76,51.0,-0.26,13.02,0.417,0.588,0.1935,883.8,0.01888,138.8,15.99,3.34,True
AF00069,TRIP_DRV003_01,DRV003,2024-02-06 06:32:16,2024-02-06 06:32:21,5,2,136,54.4,51.0,3.38,12.13,0.621,0.474,0.2557,1667.9,0.02399,119.3,18.03,3.58,True
AF00070,TRIP_DRV003_01,DRV003,2024-02-06 06:32:18,2024-02-06 06:32:23,5,2,138,53.93,51.0,2.92,13.41,0.518,0.411,0.2722,803.3,0.00579,115.4,33.27,3.98,True
AF00071,TRIP_DRV003_01,DRV003,2024-02-06 06:32:20,2024-02-06 06:32:25,5,2,140,57.28,51.0,6.26,10.27,0.877,0.384,0.35,1439.7,0.01867,151.9,32.16,3.28,True
AF00072,TRIP_DRV003_01,DRV003,2024-02-06 06:32:22,2024-02-06 06:32:27,5,2,142,59.63,51.0,8.61,10.06,0.613,0.31,0.3537,1138.4,0.01654,127.7,12.94,3.29,True
AF00073,TRIP_DRV003_01,DRV003,2024-02-06 06:32:24,2024-02-06 06:32:29,5,2,144,52.61,51.0,1.6,7.95,1.223,0.225,0.1691,1130.6,0.02317,131.7,32.21,4.46,True
AF00074,TRIP_DRV003_01,DRV003,2024-02-06 06:32:26,2024-02-06 06:32:31,5,2,146,58.01,51.0,7.0,12.38,0.682,0.405,0.2396,1117.7,0.00784,157.9,13.4,3.2,True
AF00075,TRIP_DRV003_01,DRV003,2024-02-06 06:32:28,2024-02-06 06:32:33,5,2,148,59.29,51.0,8.27,15.88,1.348,0.228,0.3911,1765.3,0.01373,123.9,10.84,4.81,True
AF00076,TRIP_DRV003_01,DRV003,2024-02-06 06:32:30,2024-02-06 06:32:35,5,2,150,48.37,51.0,-2.64,9.51,1.123,0.596,0.4071,1272.1,0.0201,130.2,31.25,2.65,True
AF00077,TRIP_DRV003_01,DRV003,2024-02-06 06:32:32,2024-02-06 06:32:37,5,2,152,51.49,51.0,0.48,15.97,0.8,0.182,0.3555,1795.3,0.00566,127.8,27.05,2.79,True
AF00078,TRIP_DRV003_01,DRV003,2024-02-06 06:32:34,2024-02-06 06:32:39,5,2,154,59.35,51.0,8.33,19.19,0.404,0.255,0.3056,1032.8,0.01482,115.4,25.86,4.89,True
AF00079,TRIP_DRV003_01,DRV003,2024-02-06 06:32:36,2024-02-06 06:32:41,5,2,156,56.06,51.0,5.04,13.36,0.948,0.203,0.224,1190.8,0.01633,113.6,14.52,3.03,True
AF00080,TRIP_DRV003_01,DRV003,2024-02-06 06:32:38,2024-02-06 06:32:43,5,2,158,57.4,51.0,6.39,4.68,0.913,0.158,0.2805,1712.9,0.00856,140.0,13.99,2.69,True
AF00081,TRIP_DRV003_01,DRV003,2024-02-06 06:32:40,2024-02-06 06:32:45,5,2,160,58.97,51.0,7.95,3.78,0.563,0.295,0.2682,1084.2,0.00831,157.5,31.22,4.52,True
AF00082,TRIP_DRV003_01,DRV003,2024-02-06 06:32:42,2024-02-06 06:32:47,5,2,162,52.29,51.0,1.27,12.57,1.333,0.252,0.4153,1488.9,0.0192,141.6,11.42,5.38,True
AF00083,TRIP_DRV003_01,DRV003,2024-02-06 06:32:44,2024-02-06 06:32:49,5,2,164,58.79,51.0,7.77,9.78,1.273,0.322,0.1658,1196.3,0.00841,133.2,29.99,4.23,True
AF00084,TRIP_DRV003_01,DRV003,2024-02-06 06:32:46,2024-02-06 06:32:51,5,2,166,57.23,51.0,6.21,8.74,1.036,0.537,0.2375,1490.0,0.01172,111.6,22.52,4.76,True
AF00085,TRIP_DRV003_01,DRV003,2024-02-06 06:32:48,2024-02-06 06:32:53,5,2,168,56.08,51.0,5.06,4.64,0.828,0.308,0.1515,1173.9,0.01753,148.3,13.09,5.23,True
AF00086,TRIP_DRV003_01,DRV003,2024-02-06 06:32:50,2024-02-06 06:32:55,5,2,170,46.98,51.0,-4.03,4.86,1.2,0.385,0.2394,1260.9,0.00588,145.9,22.87,4.2,True
AF00087,TRIP_DRV003_01,DRV003,2024-02-06 06:32:52,2024-02-06 06:32:57,5,2,172,57.92,51.0,6.91,18.63,0.713,0.199,0.207,925.3,0.0105,120.3,20.51,5.0,True
AF00088,TRIP_DRV003_01,DRV003,2024-02-06 06:32:54,2024-02-06 06:32:59,5,2,174,58.42,51.0,7.4,13.56,0.827,0.245,0.3909,1156.3,0.02083,146.3,32.04,3.12,True
AF00089,TRIP_DRV003_01,DRV003,2024-02-06 06:32:56,2024-02-06 06:33:01,5,2,176,54.37,51.0,3.35,17.83,0.546,0.508,0.2952,1374.7,0.01754,131.9,10.98,5.17,True
AF00090,TRIP_DRV003_01,DRV003,2024-02-06 06:32:58,2024-02-06 06:33:03,5,2,178,55.64,51.0,4.62,11.86,0.699,0.464,0.3366,1702.3,0.01605,124.6,17.8,2.84,True
AF00091,TRIP_DRV003_01,DRV003,2024-02-06 06:33:00,2024-02-06 06:33:05,5,2,180,58.79,51.0,7.77,16.37,0.693,0.383,0.4278,1587.1,0.01975,156.9,20.81,3.0,True
AF00092,TRIP_DRV003_01,DRV003,2024-02-06 06:33:02,2024-02-06 06:33:07,5,2,182,48.81,51.0,-2.21,16.28,1.047,0.349,0.2011,1622.0,0.02216,126.5,15.92,4.78,True
AF00093,TRIP_DRV003_01,DRV003,2024-02-06 06:33:04,2024-02-06 06:33:09,5,2,184,47.71,51.0,-3.31,18.05,1.016,0.239,0.2366,971.8,0.02214,154.0,17.05,4.5,True
AF00094,TRIP_DRV003_01,DRV003,2024-02-06 06:33:06,2024-02-06 06:33:11,5,2,186,55.9,51.0,4.88,14.06,0.484,0.2,0.3915,857.8,0.01604,110.3,25.18,3.55,True
AF00095,TRIP_DRV003_01,DRV003,2024-02-06 06:33:08,2024-02-06 06:33:13,5,2,188,55.71,51.0,4.69,8.02,1.473,0.351,0.269,1340.7,0.00882,118.0,33.8,4.41,True
AF00096,TRIP_DRV003_01,DRV003,2024-02-06 06:33:10,2024-02-06 06:33:15,5,2,190,52.82,51.0,1.8,10.49,1.143,0.574,0.4346,1426.8,0.00911,124.3,22.62,3.0,True
AF00097,TRIP_DRV003_01,DRV003,2024-02-06 06:33:12,2024-02-06 06:33:17,5,2,192,47.07,51.0,-3.94,12.19,0.581,0.543,0.4299,1078.5,0.02371,129.0,16.69,5.31,True
AF00098,TRIP_DRV003_01,DRV003,2024-02-06 06:33:14,2024-02-06 06:33:19,5,2,194,51.38,51.0,0.36,11.49,1.153,0.48,0.4368,1336.0,0.0181,130.5,32.44,4.68,True
AF00099,TRIP_DRV003_01,DRV003,2024-02-06 06:33:16,2024-02-06 06:33:21,5,2,196,46.71,51.0,-4.31,17.48,0.689,0.291,0.2543,1067.4,0.0223,138.6,26.62,5.44,True
AF00100,TRIP_DRV003_01,DRV003,2024-02-06 06:33:18,2024-02-06 06:33:23,5,2,198,53.17,51.0,2.15,19.64,0.821,0.252,0.2177,1034.5,0.02282,128.5,13.35,5.37,True
AF00101,TRIP_DRV003_01,DRV003,2024-02-06 06:33:20,2024-02-06 06:33:25,5,2,200,60.57,51.0,9.55,10.98,0.455,0.445,0.3943,1748.6,0.01701,123.4,15.07,4.52,True
AF00102,TRIP_DRV003_01,DRV003,2024-02-06 06:33:22,2024-02-06 06:33:27,5,2,202,47.62,51.0,-3.4,10.26,1.051,0.571,0.4292,1653.6,0.02424,159.1,22.05,4.64,True
AF00103,TRIP_DRV003_01,DRV003,2024-02-06 06:33:24,2024-02-06 06:33:29,5,2,204,46.39,51.0,-4.63,6.81,0.914,0.564,0.2694,1267.8,0.01309,119.8,26.07,2.5,True
AF00104,TRIP_DRV003_01,DRV003,2024-02-06 06:33:26,2024-02-06 06:33:31,5,2,206,47.3,51.0,-3.72,16.95,0.562,0.519,0.3913,1658.1,0.01129,135.5,8.84,5.04,True
AF00105,TRIP_DRV003_01,DRV003,2024-02-06 06:33:28,2024-02-06 06:33:33,5,2,208,53.28,51.0,2.26,7.95,0.789,0.315,0.3246,1703.2,0.01235,112.9,12.78,3.45,True
AF00106,TRIP_DRV003_01,DRV003,2024-02-06 06:33:30,2024-02-06 06:33:35,5,2,210,60.31,51.0,9.29,6.38,1.394,0.225,0.4052,1322.5,0.01896,115.3,34.52,2.93,True
AF00107,TRIP_DRV003_01,DRV003,2024-02-06 06:33:32,2024-02-06 06:33:37,5,2,212,49.85,51.0,-1.17,13.45,1.054,0.178,0.3697,1061.2,0.02005,123.0,28.46,5.09,True
AF00108,TRIP_DRV003_01,DRV003,2024-02-06 06:33:34,2024-02-06 06:33:39,5,2,214,58.32,51.0,7.31,13.57,0.752,0.491,0.2461,1577.3,0.01605,117.0,25.67,3.32,True
AF00109,TRIP_DRV003_01,DRV003,2024-02-06 06:33:36,2024-02-06 06:33:41,5,2,216,52.54,51.0,1.53,19.65,0.469,0.421,0.3286,850.4,0.01608,157.9,27.29,3.32,True
AF00110,TRIP_DRV003_01,DRV003,2024-02-06 06:33:38,2024-02-06 06:33:43,5,2,218,59.62,51.0,8.61,4.75,1.121,0.205,0.3356,1171.7,0.01446,147.0,19.61,5.34,True
AF00111,TRIP_DRV003_01,DRV003,2024-02-06 06:33:40,2024-02-06 06:33:45,5,2,220,52.99,51.0,1.97,7.17,1.434,0.572,0.1825,876.5,0.02487,127.4,16.7,5.13,True
AF00112,TRIP_DRV003_01,DRV003,2024-02-06 06:33:42,2024-02-06 06:33:47,5,2,222,46.74,51.0,-4.28,19.77,0.504,0.256,0.4139,1136.5,0.01598,150.7,33.01,3.71,True
AF00113,TRIP_DRV003_01,DRV003,2024-02-06 06:33:44,2024-02-06 06:33:49,5,2,224,59.17,51.0,8.16,10.57,1.238,0.393,0.3409,1119.2,0.00967,129.7,31.19,4.19,True
AF00114,TRIP_DRV003_01,DRV003,2024-02-06 06:33:46,2024-02-06 06:33:51,5,2,226,48.84,51.0,-2.17,6.7,0.64,0.224,0.4304,864.8,0.02031,155.9,29.3,3.27,True
AF00115,TRIP_DRV003_01,DRV003,2024-02-06 06:33:48,2024-02-06 06:33:53,5,2,228,50.36,51.0,-0.65,18.02,1.341,0.205,0.3556,1130.1,0.01269,148.6,21.61,2.82,True
AF00116,TRIP_DRV003_01,DRV003,2024-02-06 06:33:50,2024-02-06 06:33:55,5,2,230,46.46,51.0,-4.56,10.47,0.706,0.529,0.354,1753.6,0.0069,118.7,14.3,5.15,True
AF00117,TRIP_DRV003_01,DRV003,2024-02-06 06:33:52,2024-02-06 06:33:57,5,2,232,53.18,51.0,2.16,13.49,1.176,0.196,0.3695,1504.1,0.02144,158.1,22.11,3.91,True
AF00118,TRIP_DRV003_01,DRV003,2024-02-06 06:33:54,2024-02-06 06:33:59,5,2,234,50.42,51.0,-0.6,8.6,1.267,0.359,0.421,1392.0,0.01226,156.6,9.28,5.0,True
AF00119,TRIP_DRV003_01,DRV003,2024-02-06 06:33:56,2024-02-06 06:34:01,5,2,236,52.33,51.0,1.31,5.94,1.067,0.198,0.1876,1793.5,0.00782,121.6,19.5,3.12,True
AF00120,TRIP_DRV003_01,DRV003,2024-02-06 06:33:58,2024-02-06 06:34:03,5,2,238,53.33,51.0,2.31,18.15,1.486,0.582,0.3296,1618.4,0.00826,130.0,27.0,5.1,True
AF00121,TRIP_DRV003_01,DRV003,2024-02-06 06:34:00,2024-02-06 06:34:05,5,2,240,51.96,51.0,0.94,16.11,0.459,0.167,0.29,991.7,0.01195,120.2,10.26,3.51,True
AF00122,TRIP_DRV003_01,DRV003,2024-02-06 06:34:02,2024-02-06 06:34:07,5,2,242,59.54,51.0,8.52,18.45,0.687,0.473,0.1667,1453.6,0.02396,136.6,9.89,3.18,True
AF00123,TRIP_DRV003_01,DRV003,2024-02-06 06:34:04,2024-02-06 06:34:09,5,2,244,48.74,51.0,-2.27,9.05,1.405,0.332,0.2684,1317.6,0.02203,111.3,24.91,4.54,True
AF00124,TRIP_DRV003_01,DRV003,2024-02-06 06:34:06,2024-02-06 06:34:11,5,2,246,52.6,51.0,1.59,17.94,1.137,0.442,0.1633,1050.2,0.0179,155.8,30.19,3.26,True
AF00125,TRIP_DRV003_01,DRV003,2024-02-06 06:34:08,2024-02-06 06:34:13,5,2,248,47.49,51.0,-3.53,16.45,1.269,0.158,0.1929,895.4,0.02104,158.6,19.78,4.76,True
AF00126,TRIP_DRV003_01,DRV003,2024-02-06 06:34:10,2024-02-06 06:34:15,5,2,250,53.65,51.0,2.63,15.87,0.669,0.479,0.328,1748.7,0.01161,117.0,18.85,5.05,True
AF00127,TRIP_DRV003_01,DRV003,2024-02-06 06:34:12,2024-02-06 06:34:17,5,2,252,50.55,51.0,-0.47,4.46,0.7,0.269,0.2093,999.1,0.0201,151.0,29.13,4.53,True
AF00128,TRIP_DRV003_01,DRV003,2024-02-06 06:34:14,2024-02-06 06:34:19,5,2,254,46.38,51.0,-4.64,8.01,1.16,0.253,0.3966,1447.2,0.01726,116.4,9.26,2.96,True
