audio_feat_id,trip_id,driver_id,window_start,window_end,window_size_seconds,hop_size_seconds,elapsed_seconds,db_level,baseline_db,db_deviation,energy_slope,turn_gap_sec,gap_ratio,zcr,spectral_centroid,spectral_flux,f0_mean,f0_std,speech_rate,is_valid
AF00019,TRIP_DRV003_01,DRV003,2024-02-06 06:30:36,2024-02-06 06:30:41,5,2,36,57.4,48.8,8.65,3.95,1.312,0.349,0.4455,1789.0,0.02488,126.0,27.27,3.98,True
AF00020,TRIP_DRV003_01,DRV003,2024-02-06 06:30:38,2024-02-06 06:30:43,5,2,38,47.79,48.8,-0.97,9.48,0.481,0.333,0.3282,1080.9,0.00714,144.0,10.38,3.99,True
AF00021,TRIP_DRV003_01,DRV003,2024-02-06 06:30:40,2024-02-06 06:30:45,5,2,40,53.65,48.8,4.9,18.9,0.545,0.53,0.2208,1659.5,0.00828,134.5,12.81,2.55,True
AF00022,TRIP_DRV003_01,DRV003,2024-02-06 06:30:42,2024-02-06 06:30:47,5,2,42,46.04,48.8,-2.71,18.01,1.016,0.262,0.4296,1368.1,0.01669,114.8,8.29,4.67,True
AF00023,TRIP_DRV003_01,DRV003,2024-02-06 06:30:44,2024-02-06 06:30:49,5,2,44,46.7,48.8,-2.05,16.7,1.223,0.537,0.2497,1461.8,0.01373,119.5,27.03,3.76,True
AF00024,TRIP_DRV003_01,DRV003,2024-02-06 06:30:46,2024-02-06 06:30:51,5,2,46,52.79,48.8,4.03,16.71,0.731,0.333,0.4407,1777.8,0.01803,129.5,16.8,3.0,True
AF00025,TRIP_DRV003_01,DRV003,2024-02-06 06:30:48,2024-02-06 06:30:53,5,2,48,48.97,48.8,0.22,17.78,1.27,0.209,0.3699,1552.0,0.01599,135.8,9.5,4.74,True
AF00026,TRIP_DRV003_01,DRV003,2024-02-06 06:30:50,2024-02-06 06:30:55,5,2,50,48.22,48.8,-0.53,18.03,1.284,0.46,0.2219,1644.6,0.01794,155.0,15.05,3.95,True
AF00027,TRIP_DRV003_01,DRV003,2024-02-06 06:30:52,2024-02-06 06:30:57,5,2,52,48.77,48.8,0.02,17.63,0.759,0.359,0.2095,849.2,0.02246,135.0,28.51,4.65,True
AF00028,TRIP_DRV003_01,DRV003,2024-02-06 06:30:54,2024-02-06 06:30:59,5,2,54,44.05,48.8,-4.7,8.46,0.706,0.473,0.3693,1757.4,0.00998,153.3,12.58,5.35,True
AF00029,TRIP_DRV003_01,DRV003,2024-02-06 06:30:56,2024-02-06 06:31:01,5,2,56,49.61,48.8,0.85,16.82,1.225,0.405,0.4003,1662.6,0.02271,144.1,26.09,4.04,True
AF00030,TRIP_DRV003_01,DRV003,2024-02-06 06:30:58,2024-02-06 06:31:03,5,2,58,44.29,48.8,-4.46,15.65,1.48,0.532,0.236,1007.7,0.01548,120.6,32.48,5.12,True
AF00031,TRIP_DRV003_01,DRV003,2024-02-06 06:31:00,2024-02-06 06:31:05,5,2,60,57.04,48.8,8.28,12.48,0.543,0.236,0.207,1608.2,0.01418,127.2,27.23,3.9,True
AF00032,TRIP_DRV003_01,DRV003,2024-02-06 06:31:02,2024-02-06 06:31:07,5,2,62,45.94,48.8,-2.82,5.99,0.608,0.222,0.2714,1098.9,0.02011,149.9,29.8,4.58,True
AF00033,TRIP_DRV003_01,DRV003,2024-02-06 06:31:04,2024-02-06 06:31:09,5,2,64,53.1,48.8,4.34,3.41,1.467,0.229,0.3945,912.7,0.01941,144.5,27.0,2.88,True
AF00034,TRIP_DRV003_01,DRV003,2024-02-06 06:31:06,2024-02-06 06:31:11,5,2,66,53.61,48.8,4.86,8.1,0.808,0.497,0.3647,1032.2,0.02322,119.0,31.03,3.03,True
AF00035,TRIP_DRV003_01,DRV003,2024-02-06 06:31:08,2024-02-06 06:31:13,5,2,68,45.3,48.8,-3.46,12.74,1.289,0.37,0.2085,853.8,0.00911,118.5,23.34,5.12,True
AF00036,TRIP_DRV003_01,DRV003,2024-02-06 06:31:10,2024-02-06 06:31:15,5,2,70,57.5,48.8,8.74,10.04,0.626,0.503,0.4369,899.5,0.02106,144.6,34.09,5.19,True
AF00037,TRIP_DRV003_01,DRV003,2024-02-06 06:31:12,2024-02-06 06:31:17,5,2,72,48.59,48.8,-0.16,14.15,0.767,0.295,0.3469,1641.0,0.02267,134.0,28.78,4.47,True
AF00038,TRIP_DRV003_01,DRV003,2024-02-06 06:31:14,2024-02-06 06:31:19,5,2,74,53.13,48.8,4.37,12.62,0.941,0.188,0.3877,1256.1,0.01614,131.9,14.78,4.8,True
AF00039,TRIP_DRV003_01,DRV003,2024-02-06 06:31:16,2024-02-06 06:31:21,5,2,76,57.31,48.8,8.55,16.67,1.358,0.222,0.4192,1070.2,0.01002,150.8,21.15,3.04,True
AF00040,TRIP_DRV003_01,DRV003,2024-02-06 06:31:18,2024-02-06 06:31:23,5,2,78,53.86,48.8,5.11,8.43,0.735,0.211,0.3312,1748.2,0.00566,143.4,17.97,4.11,True
AF00041,TRIP_DRV003_01,DRV003,2024-02-06 06:31:20,2024-02-06 06:31:25,5,2,80,46.13,48.8,-2.62,13.18,0.923,0.311,0.4168,1629.0,0.00547,141.7,23.61,4.51,True
AF00042,TRIP_DRV003_01,DRV003,2024-02-06 06:31:22,2024-02-06 06:31:27,5,2,82,48.93,48.8,0.18,19.91,1.031,0.209,0.315,1755.6,0.0091,122.2,10.31,4.59,True
AF00043,TRIP_DRV003_01,DRV003,2024-02-06 06:31:24,2024-02-06 06:31:29,5,2,84,58.05,48.8,9.3,10.66,1.322,0.267,0.2761,1625.6,0.01721,114.9,10.19,5.26,True
AF00044,TRIP_DRV003_01,DRV003,2024-02-06 06:31:26,2024-02-06 06:31:31,5,2,86,55.88,48.8,7.13,4.85,0.439,0.346,0.2742,1293.5,0.0221,139.9,16.61,5.28,True
AF00045,TRIP_DRV003_01,DRV003,2024-02-06 06:31:28,2024-02-06 06:31:33,5,2,88,51.15,48.8,2.4,4.04,1.481,0.549,0.203,1670.9,0.01472,135.7,26.75,2.85,True
AF00046,TRIP_DRV003_01,DRV003,2024-02-06 06:31:30,2024-02-06 06:31:35,5,2,90,55.09,48.8,6.34,3.46,0.426,0.172,0.1989,1305.0,0.01198,122.5,33.99,2.56,True
AF00047,TRIP_DRV003_01,DRV003,2024-02-06 06:31:32,2024-02-06 06:31:37,5,2,92,58.46,48.8,9.7,9.51,1.174,0.497,0.3933,953.6,0.00557,130.6,21.79,4.77,True
AF00048,TRIP_DRV003_01,DRV003,2024-02-06 06:31:34,2024-02-06 06:31:39,5,2,94,52.7,48.8,3.95,12.59,0.602,0.288,0.2343,1416.3,0.02314,138.3,33.21,3.63,True
AF00049,TRIP_DRV003_01,DRV003,2024-02-06 06:31:36,2024-02-06 06:31:41,5,2,96,51.29,48.8,2.54,11.34,0.813,0.404,0.4221,1324.1,0.02335,146.3,16.61,2.93,True
AF00050,TRIP_DRV003_01,DRV003,2024-02-06 06:31:38,2024-02-06 06:31:43,5,2,98,57.32,48.8,8.56,16.57,0.602,0.188,0.4286,1179.7,0.02017,118.2,19.65,3.24,True
AF00051,TRIP_DRV003_01,DRV003,2024-02-06 06:31:40,2024-02-06 06:31:45,5,2,100,47.34,48.8,-1.41,11.07,1.07,0.592,0.3002,1117.9,0.01314,110.3,14.52,4.37,True
AF00052,TRIP_DRV003_01,DRV003,2024-02-06 06:31:42,2024-02-06 06:31:47,5,2,102,49.88,48.8,1.13,18.44,1.481,0.392,0.36,1268.8,0.00887,110.8,28.47,4.53,True
AF00053,TRIP_DRV003_01,DRV003,2024-02-06 06:31:44,2024-02-06 06:31:49,5,2,104,44.51,48.8,-4.25,3.41,1.409,0.449,0.2508,1683.2,0.02044,150.3,28.64,4.24,True
AF00054,TRIP_DRV003_01,DRV003,2024-02-06 06:31:46,2024-02-06 06:31:51,5,2,106,54.31,48.8,5.55,18.19,1.222,0.542,0.4445,1610.0,0.00837,118.9,8.85,3.66,True
AF00055,TRIP_DRV003_01,DRV003,2024-02-06 06:31:48,2024-02-06 06:31:53,5,2,108,45.56,48.8,-3.2,4.14,0.433,0.346,0.2152,1112.0,0.00821,140.5,22.18,2.62,True
AF00056,TRIP_DRV003_01,DRV003,2024-02-06 06:31:50,2024-02-06 06:31:55,5,2,110,49.56,48.8,0.81,16.07,0.463,0.243,0.4256,804.1,0.02368,118.3,13.43,2.74,True
AF00057,TRIP_DRV003_01,DRV003,2024-02-06 06:31:52,2024-02-06 06:31:57,5,2,112,49.4,48.8,0.65,14.49,1.226,0.229,0.381,1426.9,0.01249,113.9,14.55,2.58,True
AF00058,TRIP_DRV003_01,DRV003,2024-02-06 06:31:54,2024-02-06 06:31:59,5,2,114,58.07,48.8,9.31,19.3,0.847,0.237,0.3039,1586.6,0.02236,159.7,11.91,5.28,True
AF00059,TRIP_DRV003_01,DRV003,2024-02-06 06:31:56,2024-02-06 06:32:01,5,2,116,58.75,48.8,10.0,8.81,1.242,0.473,0.3096,1336.2,0.01549,158.8,8.48,4.15,True
AF00060,TRIP_DRV003_01,DRV003,2024-02-06 06:31:58,2024-02-06 06:32:03,5,2,118,56.88,48.8,8.13,14.39,1.321,0.302,0.1563,1001.9,0.01556,147.1,13.44,3.0,True
AF00061,TRIP_DRV003_01,DRV003,2024-02-06 06:32:00,2024-02-06 06:32:05,5,2,120,54.52,48.8,5.76,6.72,1.299,0.206,0.4175,818.3,0.01232,157.3,20.57,5.09,True
AF00062,TRIP_DRV003_01,DRV003,2024-02-06 06:32:02,2024-02-06 06:32:07,5,2,122,46.19,48.8,-2.56,18.86,1.178,0.238,0.2851,1008.3,0.01606,123.1,25.1,2.53,True
AF00063,TRIP_DRV003_01,DRV003,2024-02-06 06:32:04,2024-02-06 06:32:09,5,2,124,55.48,48.8,6.73,19.18,1.271,0.402,0.4283,1392.5,0.01005,137.5,25.36,4.54,True
AF00064,TRIP_DRV003_01,DRV003,2024-02-06 06:32:06,2024-02-06 06:32:11,5,2,126,56.4,48.8,7.64,11.72,0.494,0.484,0.2832,1394.5,0.02363,146.4,31.76,4.68,True
AF00065,TRIP_DRV003_01,DRV003,2024-02-06 06:32:08,2024-02-06 06:32:13,5,2,128,53.95,48.8,5.2,6.63,1.326,0.572,0.151,1503.7,0.02201,152.0,24.26,3.33,True
AF00066,TRIP_DRV003_01,DRV003,2024-02-06 06:32:10,2024-02-06 06:32:15,5,2,130,50.02,48.8,1.27,18.54,1.118,0.251,0.4229,1215.1,0.0086,115.5,27.82,5.35,True
AF00067,TRIP_DRV003_01,DRV003,2024-02-06 06:32:12,2024-02-06 06:32:17,5,2,132,54.1,48.8,5.34,4.37,0.972,0.286,0.3995,1164.6,0.02246,148.4,28.65,4.89,True
AF00068,TRIP_DRV003_01,DRV003,2024-02-06 06:32:14,2024-02-06 06:32:19,5,2,134,51.61,48.8,2.86,17.75,1.256,0.173,0.2304,1597.6,0.01083,140.4,13.29,5.3,True
AF00069,TRIP_DRV003_01,DRV003,2024-02-06 06:32:16,2024-02-06 06:32:21,5,2,136,53.92,48.8,5.17,18.91,1.301,0.501,0.15,1553.7,0.00788,159.8,28.52,3.21,True
AF00070,TRIP_DRV003_01,DRV003,2024-02-06 06:32:18,2024-02-06 06:32:23,5,2,138,46.12,48.8,-2.63,9.02,1.016,0.544,0.3488,949.8,0.01154,134.0,30.13,5.4,True
AF00071,TRIP_DRV003_01,DRV003,2024-02-06 06:32:20,2024-02-06 06:32:25,5,2,140,52.47,48.8,3.72,10.91,1.007,0.391,0.3011,1351.2,0.00738,138.0,24.59,3.47,True
AF00072,TRIP_DRV003_01,DRV003,2024-02-06 06:32:22,2024-02-06 06:32:27,5,2,142,46.32,48.8,-2.43,9.97,0.939,0.275,0.2551,1502.4,0.01441,141.9,22.17,3.57,True
AF00073,TRIP_DRV003_01,DRV003,2024-02-06 06:32:24,2024-02-06 06:32:29,5,2,144,46.18,48.8,-2.58,11.58,0.925,0.55,0.1631,1650.4,0.00757,127.1,21.75,4.32,True
AF00074,TRIP_DRV003_01,DRV003,2024-02-06 06:32:26,2024-02-06 06:32:31,5,2,146,52.62,48.8,3.86,15.41,1.202,0.48,0.2635,818.3,0.01492,113.2,10.41,2.94,True
AF00075,TRIP_DRV003_01,DRV003,2024-02-06 06:32:28,2024-02-06 06:32:33,5,2,148,48.03,48.8,-0.72,11.48,0.435,0.176,0.3492,1270.2,0.00504,141.9,19.74,3.86,True
AF00076,TRIP_DRV003_01,DRV003,2024-02-06 06:32:30,2024-02-06 06:32:35,5,2,150,48.3,48.8,-0.45,11.67,0.524,0.234,0.1637,858.1,0.0054,113.7,14.32,4.58,True
AF00077,TRIP_DRV003_01,DRV003,2024-02-06 06:32:32,2024-02-06 06:32:37,5,2,152,51.95,48.8,3.2,10.76,1.237,0.212,0.2324,1650.0,0.01627,143.5,19.29,2.82,True
AF00078,TRIP_DRV003_01,DRV003,2024-02-06 06:32:34,2024-02-06 06:32:39,5,2,154,56.8,48.8,8.05,14.05,0.779,0.178,0.3511,1780.7,0.00674,118.0,27.62,4.8,True
AF00079,TRIP_DRV003_01,DRV003,2024-02-06 06:32:36,2024-02-06 06:32:41,5,2,156,53.33,48.8,4.58,13.56,0.513,0.554,0.2087,1784.6,0.01505,138.6,23.7,2.91,True
AF00080,TRIP_DRV003_01,DRV003,2024-02-06 06:32:38,2024-02-06 06:32:43,5,2,158,48.79,48.8,0.04,8.26,1.032,0.531,0.3637,1441.3,0.00674,123.4,16.23,4.56,True
AF00081,TRIP_DRV003_01,DRV003,2024-02-06 06:32:40,2024-02-06 06:32:45,5,2,160,55.11,48.8,6.35,6.9,0.562,0.346,0.2964,927.4,0.01824,123.9,22.67,5.5,True
AF00082,TRIP_DRV003_01,DRV003,2024-02-06 06:32:42,2024-02-06 06:32:47,5,2,162,51.54,48.8,2.79,8.11,0.877,0.437,0.3093,1570.7,0.02398,126.7,20.71,4.59,True
AF00083,TRIP_DRV003_01,DRV003,2024-02-06 06:32:44,2024-02-06 06:32:49,5,2,164,52.7,48.8,3.95,8.67,1.204,0.516,0.3195,1068.9,0.01684,111.8,25.05,3.4,True
AF00084,TRIP_DRV003_01,DRV003,2024-02-06 06:32:46,2024-02-06 06:32:51,5,2,166,45.16,48.8,-3.59,9.69,1.375,0.504,0.3701,1308.9,0.01644,145.1,19.48,3.07,True
AF00085,TRIP_DRV003_01,DRV003,2024-02-06 06:32:48,2024-02-06 06:32:53,5,2,168,49.34,48.8,0.58,18.25,0.763,0.313,0.2421,825.4,0.01996,123.3,9.82,3.96,True
AF00086,TRIP_DRV003_01,DRV003,2024-02-06 06:32:50,2024-02-06 06:32:55,5,2,170,46.05,48.8,-2.71,19.38,1.292,0.569,0.2093,1222.2,0.02146,135.4,31.64,5.32,True
AF00087,TRIP_DRV003_01,DRV003,2024-02-06 06:32:52,2024-02-06 06:32:57,5,2,172,58.36,48.8,9.61,10.11,1.268,0.489,0.288,965.8,0.0191,117.8,26.2,2.88,True
AF00088,TRIP_DRV003_01,DRV003,2024-02-06 06:32:54,2024-02-06 06:32:59,5,2,174,53.58,48.8,4.83,9.13,0.713,0.159,0.2718,1147.2,0.01739,139.6,18.97,3.64,True
AF00089,TRIP_DRV003_01,DRV003,2024-02-06 06:32:56,2024-02-06 06:33:01,5,2,176,46.02,48.8,-2.74,18.96,0.554,0.206,0.4279,1007.4,0.02387,122.1,29.01,3.63,True
AF00090,TRIP_DRV003_01,DRV003,2024-02-06 06:32:58,2024-02-06 06:33:03,5,2,178,56.94,48.8,8.19,14.45,0.735,0.474,0.4155,1283.4,0.02367,125.9,18.25,5.43,True
AF00091,TRIP_DRV003_01,DRV003,2024-02-06 06:33:00,2024-02-06 06:33:05,5,2,180,57.37,48.8,8.62,18.09,0.579,0.191,0.1891,1119.4,0.01646,153.4,24.39,3.62,True
AF00092,TRIP_DRV003_01,DRV003,2024-02-06 06:33:02,2024-02-06 06:33:07,5,2,182,58.35,48.8,9.6,8.09,0.722,0.448,0.2058,1557.4,0.01451,158.0,12.55,3.42,True
AF00093,TRIP_DRV003_01,DRV003,2024-02-06 06:33:04,2024-02-06 06:33:09,5,2,184,48.75,48.8,-0.0,14.89,0.865,0.527,0.3366,1086.4,0.0166,118.6,30.55,3.71,True
AF00094,TRIP_DRV003_01,DRV003,2024-02-06 06:33:06,2024-02-06 06:33:11,5,2,186,50.74,48.8,1.98,16.32,1.09,0.473,0.1769,1500.5,0.02368,151.2,14.71,2.81,True
AF00095,TRIP_DRV003_01,DRV003,2024-02-06 06:33:08,2024-02-06 06:33:13,5,2,188,48.38,48.8,-0.37,16.17,0.66,0.245,0.3575,802.0,0.02458,151.9,28.56,4.33,True
AF00096,TRIP_DRV003_01,DRV003,2024-02-06 06:33:10,2024-02-06 06:33:15,5,2,190,54.9,48.8,6.15,6.4,0.573,0.497,0.4264,1076.6,0.0097,138.6,15.11,4.5,True
AF00097,TRIP_DRV003_01,DRV003,2024-02-06 06:33:12,2024-02-06 06:33:17,5,2,192,57.08,48.8,8.33,4.81,0.99,0.498,0.1545,1375.8,0.00598,140.0,33.67,3.68,True
AF00098,TRIP_DRV003_01,DRV003,2024-02-06 06:33:14,2024-02-06 06:33:19,5,2,194,46.48,48.8,-2.27,8.64,1.044,0.242,0.4078,943.7,0.01794,156.0,10.44,2.8,True
AF00099,TRIP_DRV003_01,DRV003,2024-02-06 06:33:16,2024-02-06 06:33:21,5,2,196,55.2,48.8,6.44,18.82,1.002,0.273,0.1584,1009.4,0.00955,134.2,16.38,4.16,True
AF00100,TRIP_DRV003_01,DRV003,2024-02-06 06:33:18,2024-02-06 06:33:23,5,2,198,56.75,48.8,7.99,19.43,0.587,0.484,0.3572,1501.0,0.01925,126.4,27.35,3.52,True
AF00101,TRIP_DRV003_01,DRV003,2024-02-06 06:33:20,2024-02-06 06:33:25,5,2,200,49.35,48.8,0.6,14.51,0.49,0.32,0.4447,1317.1,0.01434,135.1,13.08,4.37,True
AF00102,TRIP_DRV003_01,DRV003,2024-02-06 06:33:22,2024-02-06 06:33:27,5,2,202,45.1,48.8,-3.65,9.3,1.135,0.523,0.3942,1522.0,0.02318,122.1,22.01,3.17,True
AF00103,TRIP_DRV003_01,DRV003,2024-02-06 06:33:24,2024-02-06 06:33:29,5,2,204,52.31,48.8,3.56,6.82,0.656,0.236,0.3483,1214.2,0.02211,122.2,28.61,5.41,True
AF00104,TRIP_DRV003_01,DRV003,2024-02-06 06:33:26,2024-02-06 06:33:31,5,2,206,53.51,48.8,4.76,9.34,0.621,0.57,0.2447,1179.7,0.01454,124.7,32.32,4.58,True
AF00105,TRIP_DRV003_01,DRV003,2024-02-06 06:33:28,2024-02-06 06:33:33,5,2,208,52.6,48.8,3.85,18.01,1.157,0.166,0.2631,917.5,0.0196,156.5,15.82,2.79,True
AF00106,TRIP_DRV003_01,DRV003,2024-02-06 06:33:30,2024-02-06 06:33:35,5,2,210,54.71,48.8,5.96,8.32,1.253,0.239,0.2841,1177.0,0.02116,133.6,11.75,3.01,True
AF00107,TRIP_DRV003_01,DRV003,2024-02-06 06:33:32,2024-02-06 06:33:37,5,2,212,45.44,48.8,-3.32,13.03,0.661,0.46,0.3274,1527.4,0.01952,145.2,21.59,3.71,True
AF00108,TRIP_DRV003_01,DRV003,2024-02-06 06:33:34,2024-02-06 06:33:39,5,2,214,44.73,48.8,-4.03,17.84,0.588,0.276,0.278,1420.6,0.01922,154.7,26.14,3.53,True
AF00109,TRIP_DRV003_01,DRV003,2024-02-06 06:33:36,2024-02-06 06:33:41,5,2,216,49.46,48.8,0.7,4.6,0.842,0.167,0.4385,872.7,0.0156,135.1,29.4,4.47,True
AF00110,TRIP_DRV003_01,DRV003,2024-02-06 06:33:38,2024-02-06 06:33:43,5,2,218,49.6,48.8,0.84,8.78,1.24,0.478,0.268,1470.3,0.00551,118.5,19.92,3.38,True
AF00111,TRIP_DRV003_01,DRV003,2024-02-06 06:33:40,2024-02-06 06:33:45,5,2,220,58.62,48.8,9.86,13.15,0.425,0.565,0.4013,1716.9,0.0181,123.7,8.87,4.95,True
AF00112,TRIP_DRV003_01,DRV003,2024-02-06 06:33:42,2024-02-06 06:33:47,5,2,222,44.97,48.8,-3.78,19.89,0.557,0.572,0.4471,1448.1,0.01993,110.4,31.35,3.71,True
AF00113,TRIP_DRV003_01,DRV003,2024-02-06 06:33:44,2024-02-06 06:33:49,5,2,224,53.46,48.8,4.7,12.56,0.429,0.255,0.2085,1107.0,0.00628,141.3,30.44,3.4,True
AF00114,TRIP_DRV003_01,DRV003,2024-02-06 06:33:46,2024-02-06 06:33:51,5,2,226,57.75,48.8,9.0,4.25,1.4,0.461,0.3182,1094.5,0.02005,112.6,18.85,4.64,True
AF00115,TRIP_DRV003_01,DRV003,2024-02-06 06:33:48,2024-02-06 06:33:53,5,2,228,56.04,48.8,7.28,13.49,0.474,0.168,0.2087,1161.7,0.01418,129.9,34.8,2.65,True
AF00116,TRIP_DRV003_01,DRV003,2024-02-06 06:33:50,2024-02-06 06:33:55,5,2,230,55.27,48.8,6.52,13.21,0.752,0.488,0.282,1715.3,0.01275,122.7,32.3,2.68,True
AF00117,TRIP_DRV003_01,DRV003,2024-02-06 06:33:52,2024-02-06 06:33:57,5,2,232,53.95,48.8,5.19,12.67,1.402,0.206,0.3122,1158.1,0.02447,145.8,15.58,3.23,True
AF00118,TRIP_DRV003_01,DRV003,2024-02-06 06:33:54,2024-02-06 06:33:59,5,2,234,48.32,48.8,-0.44,19.99,1.072,0.309,0.3637,853.8,0.0064,130.3,24.17,3.75,True
AF00119,TRIP_DRV003_01,DRV003,2024-02-06 06:33:56,2024-02-06 06:34:01,5,2,236,45.12,48.8,-3.63,5.31,0.641,0.593,0.4221,1203.2,0.0056,114.6,30.79,4.79,True
AF00120,TRIP_DRV003_01,DRV003,2024-02-06 06:33:58,2024-02-06 06:34:03,5,2,238,51.03,48.8,2.28,14.48,0.668,0.253,0.2568,1138.4,0.01161,129.9,22.25,4.52,True
AF00121,TRIP_DRV003_01,DRV003,2024-02-06 06:34:00,2024-02-06 06:34:05,5,2,240,57.82,48.8,9.07,6.72,0.961,0.468,0.225,826.4,0.00976,115.7,20.65,5.33,True
AF00122,TRIP_DRV003_01,DRV003,2024-02-06 06:34:02,2024-02-06 06:34:07,5,2,242,45.47,48.8,-3.29,11.43,0.446,0.359,0.3114,1330.5,0.0058,139.8,16.76,2.8,True
AF00123,TRIP_DRV003_01,DRV003,2024-02-06 06:34:04,2024-02-06 06:34:09,5,2,244,53.68,48.8,4.92,3.17,0.706,0.43,0.349,1746.7,0.01447,145.9,23.5,4.7,True
AF00124,TRIP_DRV003_01,DRV003,2024-02-06 06:34:06,2024-02-06 06:34:11,5,2,246,52.48,48.8,3.73,7.56,0.942,0.576,0.229,950.4,0.01233,134.4,31.99,3.41,True
AF00125,TRIP_DRV003_01,DRV003,2024-02-06 06:34:08,2024-02-06 06:34:13,5,2,248,47.24,48.8,-1.52,6.43,0.932,0.421,0.3419,1473.4,0.01229,113.6,32.76,5.43,True
AF00126,TRIP_DRV003_01,DRV003,2024-02-06 06:34:10,2024-02-06 06:34:15,5,2,250,50.95,48.8,2.19,15.83,0.793,0.451,0.3113,1595.3,0.01897,138.0,8.7,4.33,True
AF00127,TRIP_DRV003_01,DRV003,2024-02-06 06:34:12,2024-02-06 06:34:17,5,2,252,54.16,48.8,5.41,13.65,1.223,0.367,0.3765,1053.4,0.01961,125.3,9.59,4.71,True
AF00128,TRIP_DRV003_01,DRV003,2024-02-06 06:34:14,2024-02-06 06:34:19,5,2,254,52.74,48.8,3.98,11.54,0.822,0.477,0.3133,1457.0,0.00981,154.2,10.68,2.83,True
