sensor_id,trip_id,driver_id,timestamp,elapsed_seconds,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,speed_kmh,gps_lat,gps_lon,sample_rate_hz,phone_orientation,event_label_gt
ACC00013,TRIP_DRV003_01,DRV003,2024-02-06 06:30:18,18.1,-0.1775,-0.0095,9.9509,-0.22,-0.539,0.777,60.9,28.653078,77.19017,25,FLAT,NORMAL
ACC00014,TRIP_DRV003_01,DRV003,2024-02-06 06:30:19,19.6,0.1205,0.2208,9.806,-0.306,-0.877,-0.264,62.7,28.653024,77.190264,25,LANDSCAPE,NORMAL
ACC00015,TRIP_DRV003_01,DRV003,2024-02-06 06:30:21,21.1,-0.2446,-0.1404,9.9004,-0.253,0.598,-0.481,74.3,28.652974,77.190367,25,PORTRAIT,NORMAL
ACC00016,TRIP_DRV003_01,DRV003,2024-02-06 06:30:22,22.6,-1.1074,-0.2065,9.9755,-1.096,-0.725,75.043,48.6,28.652927,77.190487,25,FLAT,AGGRESSIVE_LEFT_TURN
ACC00017,TRIP_DRV003_01,DRV003,2024-02-06 06:30:24,24.1,0.0087,0.0744,9.9704,0.918,0.357,0.038,42.2,28.652857,77.190578,25,FLAT,NORMAL
ACC00018,TRIP_DRV003_01,DRV003,2024-02-06 06:30:25,25.6,-0.4682,0.2724,11.7253,-1.392,0.397,-2.071,79.9,28.652827,77.19068,25,PORTRAIT,POTHOLE
ACC00019,TRIP_DRV003_01,DRV003,2024-02-06 06:30:27,27.1,-0.0096,0.1682,9.6843,-0.426,-0.106,-0.44,31.3,28.652754,77.190774,25,PORTRAIT,NORMAL
ACC00020,TRIP_DRV003_01,DRV003,2024-02-06 06:30:28,28.6,0.3155,0.1623,12.4105,-0.369,0.212,1.243,55.4,28.652708,77.190858,25,LANDSCAPE,POTHOLE
ACC00021,TRIP_DRV003_01,DRV003,2024-02-06 06:30:30,30.1,-0.0534,0.269,9.8819,0.712,-0.683,1.083,79.6,28.65266,77.190992,25,LANDSCAPE,NORMAL
ACC00022,TRIP_DRV003_01,DRV003,2024-02-06 06:30:31,31.6,0.1136,0.4372,12.645,1.116,-0.712,3.848,76.6,28.6526,77.191095,25,PORTRAIT,POTHOLE
ACC00023,TRIP_DRV003_01,DRV003,2024-02-06 06:30:33,33.2,0.0729,-0.2289,9.82,0.538,0.024,-1.163,75.8,28.65253,77.191162,25,LANDSCAPE,NORMAL
ACC00024,TRIP_DRV003_01,DRV003,2024-02-06 06:30:34,34.7,-0.2237,0.2772,9.8346,0.692,0.918,1.74,36.8,28.652498,77.191261,25,LANDSCAPE,NORMAL
ACC00025,TRIP_DRV003_01,DRV003,2024-02-06 06:30:36,36.2,-0.1652,-0.2506,9.9781,-0.048,0.019,-1.625,68.6,28.652428,77.191363,25,FLAT,NORMAL
ACC00026,TRIP_DRV003_01,DRV003,2024-02-06 06:30:37,37.7,0.0993,-0.086,9.9181,0.743,-0.85,1.279,37.0,28.65237,77.191477,25,FLAT,NORMAL
ACC00027,TRIP_DRV003_01,DRV003,2024-02-06 06:30:39,39.2,-0.1154,0.2586,9.8303,-0.401,0.318,-1.795,62.6,28.652301,77.191579,25,PORTRAIT,NORMAL
ACC00028,TRIP_DRV003_01,DRV003,2024-02-06 06:30:40,40.7,0.2004,-0.1942,9.7029,-0.96,-0.249,-0.423,52.0,28.65226,77.191678,25,PORTRAIT,NORMAL
ACC00029,TRIP_DRV003_01,DRV003,2024-02-06 06:30:42,42.2,-0.8367,-0.1367,9.6162,-0.877,0.529,64.63,78.1,28.652195,77.191774,25,LANDSCAPE,AGG_LEFT_LANE_CHANGE
ACC00030,TRIP_DRV003_01,DRV003,2024-02-06 06:30:43,43.7,-0.1687,-0.227,9.8934,-0.034,0.437,-0.638,52.1,28.652163,77.191887,25,PORTRAIT,NORMAL
ACC00031,TRIP_DRV003_01,DRV003,2024-02-06 06:30:45,45.2,-0.0205,0.0394,11.4126,-1.96,1.889,2.361,33.2,28.652089,77.191993,25,FLAT,POTHOLE
ACC00032,TRIP_DRV003_01,DRV003,2024-02-06 06:30:46,46.7,-1.2292,-0.4762,9.8472,-1.336,-0.269,41.939,60.6,28.652042,77.192071,25,FLAT,AGG_LEFT_LANE_CHANGE
ACC00033,TRIP_DRV003_01,DRV003,2024-02-06 06:30:48,48.3,-0.4806,0.2486,12.4155,1.62,1.047,-2.979,49.3,28.651978,77.192193,25,LANDSCAPE,SPEED_BUMP
ACC00034,TRIP_DRV003_01,DRV003,2024-02-06 06:30:49,49.8,0.0923,0.4775,11.9686,0.01,-1.757,4.852,55.3,28.651941,77.192274,25,FLAT,SPEED_BUMP
ACC00035,TRIP_DRV003_01,DRV003,2024-02-06 06:30:51,51.3,0.0337,-0.1363,9.926,-0.053,-0.35,0.993,36.5,28.651871,77.192365,25,LANDSCAPE,NORMAL
ACC00036,TRIP_DRV003_01,DRV003,2024-02-06 06:30:52,52.8,-0.07,1.6172,9.8899,-0.447,1.114,0.796,33.1,28.651798,77.192473,25,PORTRAIT,AGGRESSIVE_ACCEL
ACC00037,TRIP_DRV003_01,DRV003,2024-02-06 06:30:54,54.3,0.0603,0.2572,9.7402,-0.556,0.845,-1.892,42.6,28.651778,77.192561,25,LANDSCAPE,NORMAL
ACC00038,TRIP_DRV003_01,DRV003,2024-02-06 06:30:55,55.8,-0.0774,-0.0395,9.9675,-0.1,0.674,-1.479,33.9,28.651727,77.192699,25,LANDSCAPE,NORMAL
ACC00039,TRIP_DRV003_01,DRV003,2024-02-06 06:30:57,57.3,0.1551,0.279,9.8698,-0.834,0.61,-0.392,59.1,28.651671,77.192784,25,FLAT,NORMAL
ACC00040,TRIP_DRV003_01,DRV003,2024-02-06 06:30:58,58.8,-0.2177,-0.1905,9.7086,-0.467,-0.468,-1.949,51.6,28.65159,77.192886,25,FLAT,NORMAL
ACC00041,TRIP_DRV003_01,DRV003,2024-02-06 06:31:00,60.3,0.9304,0.2014,9.9742,0.859,0.482,-86.43,62.2,28.651524,77.192962,25,PORTRAIT,AGG_RIGHT_LANE_CHANGE
ACC00042,TRIP_DRV003_01,DRV003,2024-02-06 06:31:01,61.8,0.0436,1.831,9.9799,-0.448,0.514,-1.503,41.0,28.651481,77.193063,25,PORTRAIT,AGGRESSIVE_ACCEL
ACC00043,TRIP_DRV003_01,DRV003,2024-02-06 06:31:03,63.4,0.2798,-0.2577,9.9524,-0.024,0.285,-1.278,74.6,28.651417,77.1932,25,LANDSCAPE,NORMAL
ACC00044,TRIP_DRV003_01,DRV003,2024-02-06 06:31:04,64.9,0.0751,0.0692,9.8493,-0.966,0.538,-0.911,53.8,28.651395,77.193273,25,LANDSCAPE,NORMAL
ACC00045,TRIP_DRV003_01,DRV003,2024-02-06 06:31:06,66.4,0.2302,0.151,9.6149,-0.905,-0.318,1.218,36.3,28.651331,77.193393,25,PORTRAIT,NORMAL
ACC00046,TRIP_DRV003_01,DRV003,2024-02-06 06:31:07,67.9,-0.2903,-0.2776,9.913,0.211,0.176,1.538,57.2,28.651273,77.19347,25,PORTRAIT,NORMAL
ACC00047,TRIP_DRV003_01,DRV003,2024-02-06 06:31:09,69.4,0.2485,0.0254,9.7734,-0.972,0.999,1.131,54.1,28.651201,77.193579,25,LANDSCAPE,NORMAL
ACC00048,TRIP_DRV003_01,DRV003,2024-02-06 06:31:10,70.9,-0.4489,0.1879,11.2595,-1.591,0.276,-3.045,47.4,28.651158,77.193665,25,LANDSCAPE,SPEED_BUMP
ACC00049,TRIP_DRV003_01,DRV003,2024-02-06 06:31:12,72.4,0.2034,0.0757,9.8125,-0.724,-0.202,0.674,80.0,28.651102,77.193772,25,LANDSCAPE,NORMAL
ACC00050,TRIP_DRV003_01,DRV003,2024-02-06 06:31:13,73.9,-0.2893,0.1343,9.6235,0.935,-0.421,-1.892,42.1,28.651048,77.193877,25,FLAT,NORMAL
ACC00051,TRIP_DRV003_01,DRV003,2024-02-06 06:31:15,75.4,-0.2462,-0.1888,9.9352,0.834,-0.034,0.756,37.8,28.651002,77.193982,25,FLAT,NORMAL
ACC00052,TRIP_DRV003_01,DRV003,2024-02-06 06:31:16,76.9,-0.0188,-0.0334,9.6317,-0.618,0.094,1.706,45.7,28.65095,77.194063,25,PORTRAIT,NORMAL
ACC00053,TRIP_DRV003_01,DRV003,2024-02-06 06:31:18,78.5,0.2212,0.1716,9.6051,0.987,-0.131,0.134,48.9,28.650886,77.194171,25,LANDSCAPE,NORMAL
ACC00054,TRIP_DRV003_01,DRV003,2024-02-06 06:31:19,80.0,-1.3242,0.427,9.77,-1.362,-0.122,49.269,79.7,28.650843,77.194292,25,PORTRAIT,AGGRESSIVE_LEFT_TURN
ACC00055,TRIP_DRV003_01,DRV003,2024-02-06 06:31:21,81.5,-0.1681,0.0901,9.88,0.538,-0.457,-1.523,79.7,28.650766,77.194367,25,PORTRAIT,NORMAL
ACC00056,TRIP_DRV003_01,DRV003,2024-02-06 06:31:22,83.0,-0.0194,0.2,9.7398,0.103,0.727,-1.836,34.3,28.650733,77.194467,25,FLAT,NORMAL
ACC00057,TRIP_DRV003_01,DRV003,2024-02-06 06:31:24,84.5,-0.1209,0.2249,9.6016,0.825,-0.567,-1.072,37.7,28.650651,77.194592,25,LANDSCAPE,NORMAL
ACC00058,TRIP_DRV003_01,DRV003,2024-02-06 06:31:26,86.0,0.0445,1.5159,9.9121,-0.359,1.303,1.627,66.7,28.650592,77.194689,25,LANDSCAPE,AGGRESSIVE_ACCEL
ACC00059,TRIP_DRV003_01,DRV003,2024-02-06 06:31:26,86.0,0.9809,-0.2601,9.8905,0.937,-0.576,-55.549,51.6,28.650566,77.194742,25,LANDSCAPE,AGG_RIGHT_LANE_CHANGE
ACC00060,TRIP_DRV003_01,DRV003,2024-02-06 06:31:27,87.5,-0.178,-1.7631,9.8221,0.479,-1.331,-1.845,53.8,28.650422,77.194974,25,FLAT,AGGRESSIVE_BRAKING
ACC00061,TRIP_DRV003_01,DRV003,2024-02-06 06:31:29,89.0,-0.2557,0.458,11.9702,-0.353,-1.096,4.948,68.3,28.650278,77.195191,25,FLAT,SPEED_BUMP
ACC00062,TRIP_DRV003_01,DRV003,2024-02-06 06:31:30,90.5,-0.0211,-0.149,9.6968,-0.805,0.123,1.782,58.1,28.650152,77.19541,25,LANDSCAPE,NORMAL
ACC00063,TRIP_DRV003_01,DRV003,2024-02-06 06:31:32,92.0,-0.2265,0.16,9.8879,0.877,-0.54,-0.189,63.7,28.649982,77.195625,25,FLAT,NORMAL
ACC00064,TRIP_DRV003_01,DRV003,2024-02-06 06:31:33,93.5,-0.0042,0.0691,9.8415,-0.49,-0.962,-1.229,70.7,28.649874,77.195856,25,LANDSCAPE,NORMAL
ACC00065,TRIP_DRV003_01,DRV003,2024-02-06 06:31:35,95.0,0.1515,-0.0917,9.6142,-0.847,-0.847,-1.928,54.2,28.649723,77.196069,25,LANDSCAPE,NORMAL
ACC00066,TRIP_DRV003_01,DRV003,2024-02-06 06:31:36,96.5,1.1669,-0.2645,9.8219,1.278,-0.566,-53.218,31.0,28.649588,77.196293,25,PORTRAIT,AGGRESSIVE_RIGHT_TURN
ACC00067,TRIP_DRV003_01,DRV003,2024-02-06 06:31:38,98.0,0.26,-0.0555,9.6889,-0.812,0.186,0.204,35.7,28.649449,77.196511,25,PORTRAIT,NORMAL
ACC00068,TRIP_DRV003_01,DRV003,2024-02-06 06:31:39,99.5,-0.1957,-2.277,9.9954,-0.127,-1.538,-1.346,65.3,28.649289,77.196751,25,LANDSCAPE,AGGRESSIVE_BRAKING
ACC00069,TRIP_DRV003_01,DRV003,2024-02-06 06:31:41,101.0,0.2397,-0.266,9.7196,-0.712,0.888,-0.126,49.9,28.649165,77.196974,25,PORTRAIT,NORMAL
ACC00070,TRIP_DRV003_01,DRV003,2024-02-06 06:31:42,102.5,-0.0619,0.0302,9.8845,-0.571,-0.375,1.062,42.2,28.649011,77.197176,25,LANDSCAPE,NORMAL
ACC00071,TRIP_DRV003_01,DRV003,2024-02-06 06:31:44,104.0,0.1743,1.6154,9.6574,0.046,1.414,-1.49,37.8,28.648881,77.197386,25,LANDSCAPE,AGGRESSIVE_ACCEL
ACC00072,TRIP_DRV003_01,DRV003,2024-02-06 06:31:45,105.5,0.2438,0.1372,9.8286,-0.338,0.995,1.79,38.7,28.64874,77.197606,25,FLAT,NORMAL
ACC00073,TRIP_DRV003_01,DRV003,2024-02-06 06:31:47,107.0,0.0937,0.0604,9.6412,-0.041,0.402,1.0,43.3,28.648588,77.197864,25,FLAT,NORMAL
ACC00074,TRIP_DRV003_01,DRV003,2024-02-06 06:31:48,108.5,-0.1438,0.2074,9.7237,-0.97,0.191,1.911,75.8,28.648454,77.198076,25,PORTRAIT,NORMAL
ACC00075,TRIP_DRV003_01,DRV003,2024-02-06 06:31:50,110.0,-1.337,-0.1776,9.6495,-0.61,-0.22,51.934,66.2,28.648291,77.198303,25,LANDSCAPE,AGGRESSIVE_LEFT_TURN
ACC00076,TRIP_DRV003_01,DRV003,2024-02-06 06:31:51,111.5,0.0314,0.1686,9.7663,-0.52,0.515,-1.002,69.7,28.648173,77.19852,25,FLAT,NORMAL
ACC00077,TRIP_DRV003_01,DRV003,2024-02-06 06:31:53,113.0,-0.2566,-0.0802,9.6692,0.906,0.11,-1.736,40.1,28.648038,77.198731,25,PORTRAIT,NORMAL
ACC00078,TRIP_DRV003_01,DRV003,2024-02-06 06:31:54,114.6,0.2167,0.2043,9.9553,-0.189,-0.478,1.307,39.0,28.648104,77.198772,25,FLAT,NORMAL
ACC00079,TRIP_DRV003_01,DRV003,2024-02-06 06:31:56,116.2,-1.1433,0.0961,9.7695,-0.616,0.622,59.097,40.0,28.64815,77.198819,25,PORTRAIT,AGGRESSIVE_LEFT_TURN
ACC00080,TRIP_DRV003_01,DRV003,2024-02-06 06:31:57,117.8,-1.4043,0.4001,9.8087,-1.059,0.314,40.273,36.5,28.648231,77.198872,25,FLAT,AGG_LEFT_LANE_CHANGE
ACC00081,TRIP_DRV003_01,DRV003,2024-02-06 06:31:59,119.3,-0.028,0.1979,9.6791,-0.466,-0.656,-1.344,35.0,28.648307,77.198952,25,LANDSCAPE,NORMAL
ACC00082,TRIP_DRV003_01,DRV003,2024-02-06 06:32:00,120.9,0.2875,0.0301,9.6946,0.463,-0.761,1.789,77.2,28.64835,77.19898,25,FLAT,NORMAL
ACC00083,TRIP_DRV003_01,DRV003,2024-02-06 06:32:02,122.5,-0.1118,0.2374,9.9209,-0.617,-0.127,1.703,52.7,28.648419,77.199022,25,LANDSCAPE,NORMAL
ACC00084,TRIP_DRV003_01,DRV003,2024-02-06 06:32:04,124.1,-0.4682,-0.3875,12.1067,0.041,-1.831,3.145,59.9,28.648484,77.199102,25,LANDSCAPE,POTHOLE
ACC00085,TRIP_DRV003_01,DRV003,2024-02-06 06:32:05,125.7,-1.3619,0.0844,9.6699,-1.257,-0.278,47.859,42.3,28.648564,77.19914,25,FLAT,AGG_LEFT_LANE_CHANGE
ACC00086,TRIP_DRV003_01,DRV003,2024-02-06 06:32:07,127.2,-0.0708,0.0691,9.7207,-0.012,0.281,0.142,36.3,28.648614,77.199202,25,LANDSCAPE,NORMAL
ACC00087,TRIP_DRV003_01,DRV003,2024-02-06 06:32:08,128.8,0.1242,0.0598,9.9653,0.628,-0.026,-0.65,30.5,28.648689,77.199256,25,LANDSCAPE,NORMAL
ACC00088,TRIP_DRV003_01,DRV003,2024-02-06 06:32:10,130.4,0.2328,-0.1219,9.6444,0.891,-0.369,-0.784,36.2,28.648746,77.199275,25,LANDSCAPE,NORMAL
ACC00089,TRIP_DRV003_01,DRV003,2024-02-06 06:32:12,132.0,-0.0165,-0.23,9.8307,-0.634,-0.396,0.218,31.2,28.64884,77.199343,25,PORTRAIT,NORMAL
ACC00090,TRIP_DRV003_01,DRV003,2024-02-06 06:32:13,133.6,-0.1481,0.025,9.913,0.06,0.575,-0.444,41.3,28.648863,77.199343,25,FLAT,NORMAL
ACC00091,TRIP_DRV003_01,DRV003,2024-02-06 06:32:15,135.2,0.0777,-0.1912,9.6605,0.117,-0.73,-0.161,79.3,28.648888,77.199379,25,FLAT,NORMAL
ACC00092,TRIP_DRV003_01,DRV003,2024-02-06 06:32:16,136.8,-0.0672,0.2825,11.8281,0.283,1.303,-4.931,59.4,28.648909,77.199392,25,LANDSCAPE,POTHOLE
ACC00093,TRIP_DRV003_01,DRV003,2024-02-06 06:32:18,138.4,0.0245,0.2349,9.9487,-0.123,-0.393,-0.361,76.9,28.648966,77.199414,25,LANDSCAPE,NORMAL
ACC00094,TRIP_DRV003_01,DRV003,2024-02-06 06:32:20,140.0,0.1444,0.0528,9.8375,0.145,-0.445,-1.649,42.3,28.648979,77.199428,25,LANDSCAPE,NORMAL
ACC00095,TRIP_DRV003_01,DRV003,2024-02-06 06:32:21,141.6,0.014,-0.1581,9.7971,0.613,0.537,0.643,77.3,28.648909,77.199523,25,PORTRAIT,NORMAL
ACC00096,TRIP_DRV003_01,DRV003,2024-02-06 06:32:23,143.1,0.2393,0.0198,9.9549,0.013,0.292,-1.726,60.3,28.648857,77.199672,25,FLAT,NORMAL
ACC00097,TRIP_DRV003_01,DRV003,2024-02-06 06:32:24,144.7,-1.3193,0.2065,9.982,-0.772,-0.121,47.049,65.4,28.648787,77.199777,25,PORTRAIT,AGGRESSIVE_LEFT_TURN
ACC00098,TRIP_DRV003_01,DRV003,2024-02-06 06:32:26,146.2,0.2828,-0.105,9.7249,0.482,-0.484,0.976,31.5,28.64871,77.199902,25,FLAT,NORMAL
ACC00099,TRIP_DRV003_01,DRV003,2024-02-06 06:32:27,147.8,0.2378,-0.03,9.805,-0.13,0.089,-0.399,43.1,28.648666,77.200023,25,FLAT,NORMAL
ACC00100,TRIP_DRV003_01,DRV003,2024-02-06 06:32:29,149.3,-0.0423,-0.1021,9.8289,0.159,0.888,0.039,56.4,28.648596,77.200142,25,FLAT,NORMAL
ACC00101,TRIP_DRV003_01,DRV003,2024-02-06 06:32:30,150.8,0.9517,0.4675,9.8306,0.983,0.298,-63.407,68.1,28.648548,77.200261,25,PORTRAIT,AGG_RIGHT_LANE_CHANGE
ACC00102,TRIP_DRV003_01,DRV003,2024-02-06 06:32:32,152.4,1.2879,-0.3841,9.9987,1.166,-0.601,-43.564,64.1,28.648459,77.200368,25,LANDSCAPE,AGGRESSIVE_RIGHT_TURN
ACC00103,TRIP_DRV003_01,DRV003,2024-02-06 06:32:33,153.9,-1.03,-0.0359,9.8336,-0.705,-0.79,65.106,47.6,28.648402,77.200509,25,LANDSCAPE,AGGRESSIVE_LEFT_TURN
ACC00104,TRIP_DRV003_01,DRV003,2024-02-06 06:32:35,155.5,-0.0435,-0.2379,9.7352,-0.341,-0.998,1.683,36.1,28.648359,77.200621,25,PORTRAIT,NORMAL
ACC00105,TRIP_DRV003_01,DRV003,2024-02-06 06:32:37,157.1,0.0305,-0.0654,9.7815,0.362,-0.577,-0.969,58.8,28.648283,77.200718,25,LANDSCAPE,NORMAL
ACC00106,TRIP_DRV003_01,DRV003,2024-02-06 06:32:38,158.6,0.0713,0.4999,11.3225,-0.871,-1.843,-4.989,74.1,28.648207,77.200841,25,FLAT,SPEED_BUMP
ACC00107,TRIP_DRV003_01,DRV003,2024-02-06 06:32:40,160.2,-0.1958,-0.0419,9.6954,-0.952,-0.232,-0.109,55.4,28.648134,77.200981,25,FLAT,NORMAL
ACC00108,TRIP_DRV003_01,DRV003,2024-02-06 06:32:41,161.7,0.4169,0.2175,11.3809,0.991,1.992,2.317,61.2,28.648097,77.201074,25,LANDSCAPE,SPEED_BUMP
ACC00109,TRIP_DRV003_01,DRV003,2024-02-06 06:32:43,163.2,-1.0645,0.4749,9.8234,-1.274,-0.102,84.611,40.0,28.648009,77.201227,25,LANDSCAPE,AGG_LEFT_LANE_CHANGE
ACC00110,TRIP_DRV003_01,DRV003,2024-02-06 06:32:44,164.8,-0.2054,0.1117,9.9687,0.029,-0.198,0.539,42.2,28.64794,77.201339,25,FLAT,NORMAL
ACC00111,TRIP_DRV003_01,DRV003,2024-02-06 06:32:46,166.3,-0.0388,-0.1625,9.7875,0.35,-0.263,-0.594,74.3,28.6479,77.20145,25,LANDSCAPE,NORMAL
ACC00112,TRIP_DRV003_01,DRV003,2024-02-06 06:32:47,167.9,0.2832,0.0081,9.7637,-0.189,0.943,1.332,71.7,28.647839,77.201578,25,FLAT,NORMAL
ACC00113,TRIP_DRV003_01,DRV003,2024-02-06 06:32:49,169.4,0.2785,0.2313,9.9862,0.297,0.384,0.208,48.8,28.647784,77.201677,25,LANDSCAPE,NORMAL
ACC00114,TRIP_DRV003_01,DRV003,2024-02-06 06:32:51,171.0,0.1324,-0.1449,9.8427,-0.358,0.832,1.594,75.9,28.647713,77.201823,25,LANDSCAPE,NORMAL
ACC00115,TRIP_DRV003_01,DRV003,2024-02-06 06:32:52,172.5,-0.1854,-0.1729,9.6078,0.043,0.552,0.369,77.9,28.647656,77.202048,25,PORTRAIT,NORMAL
ACC00116,TRIP_DRV003_01,DRV003,2024-02-06 06:32:54,174.1,-0.0952,-0.4467,11.8648,1.842,0.657,0.31,41.4,28.647582,77.202269,25,FLAT,SPEED_BUMP
ACC00117,TRIP_DRV003_01,DRV003,2024-02-06 06:32:55,175.6,-1.1524,-0.0945,9.9579,-0.526,-0.459,79.68,68.4,28.647517,77.202464,25,PORTRAIT,AGG_LEFT_LANE_CHANGE
ACC00118,TRIP_DRV003_01,DRV003,2024-02-06 06:32:57,177.1,1.1459,-0.133,9.9442,0.604,-0.279,-46.993,57.5,28.647439,77.202716,25,LANDSCAPE,AGG_RIGHT_LANE_CHANGE
ACC00119,TRIP_DRV003_01,DRV003,2024-02-06 06:32:58,178.7,0.277,-0.1977,9.8505,-0.887,-0.807,-0.292,62.0,28.647385,77.202942,25,LANDSCAPE,NORMAL
ACC00120,TRIP_DRV003_01,DRV003,2024-02-06 06:33:00,180.2,0.0894,0.2279,9.7702,0.989,-0.948,-1.663,39.9,28.647331,77.203141,25,PORTRAIT,NORMAL
ACC00121,TRIP_DRV003_01,DRV003,2024-02-06 06:33:01,181.7,-0.1059,-0.1622,9.6922,-0.581,-0.248,0.195,58.2,28.64725,77.203397,25,FLAT,NORMAL
ACC00122,TRIP_DRV003_01,DRV003,2024-02-06 06:33:03,183.3,-0.0885,-0.1158,9.6614,0.519,0.803,-0.697,50.9,28.6472,77.203616,25,PORTRAIT,NORMAL
ACC00123,TRIP_DRV003_01,DRV003,2024-02-06 06:33:04,184.8,0.0355,0.1001,9.7465,-0.53,0.401,-0.389,32.7,28.64713,77.203819,25,FLAT,NORMAL
ACC00124,TRIP_DRV003_01,DRV003,2024-02-06 06:33:06,186.3,1.2818,0.0317,9.6478,1.156,0.61,-87.494,52.0,28.647086,77.204071,25,LANDSCAPE,AGG_RIGHT_LANE_CHANGE
ACC00125,TRIP_DRV003_01,DRV003,2024-02-06 06:33:07,187.9,0.0086,0.0031,11.2844,1.536,-0.597,4.924,31.0,28.647008,77.204283,25,LANDSCAPE,SPEED_BUMP
ACC00126,TRIP_DRV003_01,DRV003,2024-02-06 06:33:09,189.4,-0.1763,-0.0272,9.9638,0.778,-0.048,-1.366,45.3,28.646943,77.204501,25,LANDSCAPE,NORMAL
ACC00127,TRIP_DRV003_01,DRV003,2024-02-06 06:33:10,190.9,-0.0291,-0.2865,9.9618,-0.635,-0.902,-1.429,75.2,28.646894,77.204714,25,PORTRAIT,NORMAL
ACC00128,TRIP_DRV003_01,DRV003,2024-02-06 06:33:12,192.5,-0.1203,0.2821,9.7452,-0.121,-0.331,1.098,69.2,28.646828,77.204932,25,FLAT,NORMAL
ACC00129,TRIP_DRV003_01,DRV003,2024-02-06 06:33:14,194.0,-0.039,0.1665,9.9763,-0.198,0.067,1.422,37.3,28.646764,77.205191,25,PORTRAIT,NORMAL
ACC00130,TRIP_DRV003_01,DRV003,2024-02-06 06:33:15,195.5,0.2054,0.2773,9.8873,-0.27,-0.181,-1.263,44.9,28.646779,77.205208,25,PORTRAIT,NORMAL
ACC00131,TRIP_DRV003_01,DRV003,2024-02-06 06:33:17,197.0,0.0251,-1.6016,9.872,-0.294,-1.48,1.875,62.4,28.646765,77.205213,25,LANDSCAPE,AGGRESSIVE_BRAKING
ACC00132,TRIP_DRV003_01,DRV003,2024-02-06 06:33:18,198.5,-0.0726,0.0641,9.9192,0.195,0.922,0.939,31.8,28.646741,77.205256,25,FLAT,NORMAL
ACC00133,TRIP_DRV003_01,DRV003,2024-02-06 06:33:20,200.0,0.0168,0.1764,9.7563,-0.358,0.377,1.486,38.3,28.646753,77.205257,25,LANDSCAPE,NORMAL
ACC00134,TRIP_DRV003_01,DRV003,2024-02-06 06:33:21,201.5,1.2173,-0.1552,9.9897,1.357,0.027,-83.459,40.2,28.646747,77.205313,25,PORTRAIT,AGGRESSIVE_RIGHT_TURN
ACC00135,TRIP_DRV003_01,DRV003,2024-02-06 06:33:23,203.0,-0.1585,-0.0437,9.7131,-0.203,0.329,1.329,57.8,28.646708,77.205364,25,PORTRAIT,NORMAL
